Role,Action
Global Administrator,microsoft.directory/accessReviews/allProperties/allTasks
Global Administrator,microsoft.directory/accessReviews/definitions/allProperties/allTasks
Global Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks
Global Administrator,microsoft.directory/administrativeUnits/allProperties/allTasks
Global Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read
Global Administrator,microsoft.directory/applications/allProperties/allTasks
Global Administrator,microsoft.directory/applications/synchronization/standard/read
Global Administrator,microsoft.directory/applicationTemplates/instantiate
Global Administrator,microsoft.directory/auditLogs/allProperties/read
Global Administrator,microsoft.directory/users/authenticationMethods/create
Global Administrator,microsoft.directory/users/authenticationMethods/delete
Global Administrator,microsoft.directory/users/authenticationMethods/standard/read
Global Administrator,microsoft.directory/users/authenticationMethods/basic/update
Global Administrator,microsoft.directory/authorizationPolicy/allProperties/allTasks
Global Administrator,microsoft.directory/bitlockerKeys/key/read
Global Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks
Global Administrator,microsoft.directory/connectors/create
Global Administrator,microsoft.directory/connectors/allProperties/read
Global Administrator,microsoft.directory/connectorGroups/create
Global Administrator,microsoft.directory/connectorGroups/delete
Global Administrator,microsoft.directory/connectorGroups/allProperties/read
Global Administrator,microsoft.directory/connectorGroups/allProperties/update
Global Administrator,microsoft.directory/contacts/allProperties/allTasks
Global Administrator,microsoft.directory/contracts/allProperties/allTasks
Global Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks
Global Administrator,microsoft.directory/deletedItems/delete
Global Administrator,microsoft.directory/deletedItems/restore
Global Administrator,microsoft.directory/devices/allProperties/allTasks
Global Administrator,microsoft.directory/namedLocations/create
Global Administrator,microsoft.directory/namedLocations/delete
Global Administrator,microsoft.directory/namedLocations/standard/read
Global Administrator,microsoft.directory/namedLocations/basic/update
Global Administrator,microsoft.directory/deviceManagementPolicies/standard/read
Global Administrator,microsoft.directory/deviceManagementPolicies/basic/update
Global Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read
Global Administrator,microsoft.directory/deviceRegistrationPolicy/basic/update
Global Administrator,microsoft.directory/directoryRoles/allProperties/allTasks
Global Administrator,microsoft.directory/directoryRoleTemplates/allProperties/allTasks
Global Administrator,microsoft.directory/domains/allProperties/allTasks
Global Administrator,microsoft.directory/domains/federationConfiguration/standard/read
Global Administrator,microsoft.directory/domains/federationConfiguration/basic/update
Global Administrator,microsoft.directory/domains/federationConfiguration/create
Global Administrator,microsoft.directory/domains/federationConfiguration/delete
Global Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks
Global Administrator,microsoft.directory/groups/allProperties/allTasks
Global Administrator,microsoft.directory/groupsAssignableToRoles/create
Global Administrator,microsoft.directory/groupsAssignableToRoles/delete
Global Administrator,microsoft.directory/groupsAssignableToRoles/restore
Global Administrator,microsoft.directory/groupsAssignableToRoles/allProperties/update
Global Administrator,microsoft.directory/groupSettings/allProperties/allTasks
Global Administrator,microsoft.directory/groupSettingTemplates/allProperties/allTasks
Global Administrator,microsoft.directory/hybridAuthenticationPolicy/allProperties/allTasks
Global Administrator,microsoft.directory/identityProtection/allProperties/allTasks
Global Administrator,microsoft.directory/loginOrganizationBranding/allProperties/allTasks
Global Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks
Global Administrator,microsoft.directory/organization/allProperties/allTasks
Global Administrator,microsoft.directory/passwordHashSync/allProperties/allTasks
Global Administrator,microsoft.directory/policies/allProperties/allTasks
Global Administrator,microsoft.directory/conditionalAccessPolicies/allProperties/allTasks
Global Administrator,microsoft.directory/crossTenantAccessPolicy/standard/read
Global Administrator,microsoft.directory/crossTenantAccessPolicy/allowedCloudEndpoints/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/basic/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/standard/read
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/b2bCollaboration/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/b2bDirectConnect/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/crossCloudMeetings/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/default/tenantRestrictions/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/create
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/delete
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/standard/read
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/b2bCollaboration/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/b2bDirectConnect/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/crossCloudMeetings/update
Global Administrator,microsoft.directory/crossTenantAccessPolicy/partners/tenantRestrictions/update
Global Administrator,microsoft.directory/privilegedIdentityManagement/allProperties/read
Global Administrator,microsoft.directory/provisioningLogs/allProperties/read
Global Administrator,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update
Global Administrator,microsoft.directory/roleAssignments/allProperties/allTasks
Global Administrator,microsoft.directory/roleDefinitions/allProperties/allTasks
Global Administrator,microsoft.directory/scopedRoleMemberships/allProperties/allTasks
Global Administrator,microsoft.directory/serviceAction/activateService
Global Administrator,microsoft.directory/serviceAction/disableDirectoryFeature
Global Administrator,microsoft.directory/serviceAction/enableDirectoryFeature
Global Administrator,microsoft.directory/serviceAction/getAvailableExtentionProperties
Global Administrator,microsoft.directory/servicePrincipals/allProperties/allTasks
Global Administrator,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-company-admin
Global Administrator,microsoft.directory/servicePrincipals/synchronization/standard/read
Global Administrator,microsoft.directory/signInReports/allProperties/read
Global Administrator,microsoft.directory/subscribedSkus/allProperties/allTasks
Global Administrator,microsoft.directory/users/allProperties/allTasks
Global Administrator,microsoft.directory/permissionGrantPolicies/create
Global Administrator,microsoft.directory/permissionGrantPolicies/delete
Global Administrator,microsoft.directory/permissionGrantPolicies/standard/read
Global Administrator,microsoft.directory/permissionGrantPolicies/basic/update
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/create
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/delete
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/standard/read
Global Administrator,microsoft.directory/servicePrincipalCreationPolicies/basic/update
Global Administrator,microsoft.directory/tenantManagement/tenants/create
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/create
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read
Global Administrator,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update
Global Administrator,microsoft.directory/verifiableCredentials/configuration/create
Global Administrator,microsoft.directory/verifiableCredentials/configuration/delete
Global Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/read
Global Administrator,microsoft.directory/verifiableCredentials/configuration/allProperties/update
Global Administrator,microsoft.directory/lifecycleWorkflows/workflows/allProperties/allTasks
Global Administrator,microsoft.azure.advancedThreatProtection/allEntities/allTasks
Global Administrator,microsoft.azure.informationProtection/allEntities/allTasks
Global Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Global Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Global Administrator,microsoft.cloudPC/allEntities/allProperties/allTasks
Global Administrator,microsoft.commerce.billing/allEntities/allProperties/allTasks
Global Administrator,microsoft.commerce.billing/purchases/standard/read
Global Administrator,microsoft.dynamics365/allEntities/allTasks
Global Administrator,microsoft.edge/allEntities/allProperties/allTasks
Global Administrator,microsoft.flow/allEntities/allTasks
Global Administrator,microsoft.hardware.support/shippingAddress/allProperties/allTasks
Global Administrator,microsoft.hardware.support/shippingStatus/allProperties/read
Global Administrator,microsoft.hardware.support/warrantyClaims/allProperties/allTasks
Global Administrator,microsoft.insights/allEntities/allProperties/allTasks
Global Administrator,microsoft.intune/allEntities/allTasks
Global Administrator,microsoft.office365.complianceManager/allEntities/allTasks
Global Administrator,microsoft.office365.desktopAnalytics/allEntities/allTasks
Global Administrator,microsoft.office365.exchange/allEntities/basic/allTasks
Global Administrator,microsoft.office365.knowledge/contentUnderstanding/allProperties/allTasks
Global Administrator,microsoft.office365.knowledge/contentUnderstanding/analytics/allProperties/read
Global Administrator,microsoft.office365.knowledge/knowledgeNetwork/allProperties/allTasks
Global Administrator,microsoft.office365.knowledge/knowledgeNetwork/topicVisibility/allProperties/allTasks
Global Administrator,microsoft.office365.knowledge/learningSources/allProperties/allTasks
Global Administrator,microsoft.office365.lockbox/allEntities/allTasks
Global Administrator,microsoft.office365.messageCenter/messages/read
Global Administrator,microsoft.office365.messageCenter/securityMessages/read
Global Administrator,microsoft.office365.network/performance/allProperties/read
Global Administrator,microsoft.office365.organizationalMessages/allEntities/allProperties/allTasks
Global Administrator,microsoft.office365.protectionCenter/allEntities/allProperties/allTasks
Global Administrator,microsoft.office365.search/content/manage
Global Administrator,microsoft.office365.securityComplianceCenter/allEntities/allTasks
Global Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Global Administrator,microsoft.office365.sharePoint/allEntities/allTasks
Global Administrator,microsoft.office365.skypeForBusiness/allEntities/allTasks
Global Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Global Administrator,microsoft.office365.usageReports/allEntities/allProperties/read
Global Administrator,microsoft.office365.userCommunication/allEntities/allTasks
Global Administrator,microsoft.office365.webPortal/allEntities/standard/read
Global Administrator,microsoft.office365.yammer/allEntities/allProperties/allTasks
Global Administrator,microsoft.permissionsManagement/allEntities/allProperties/allTasks
Global Administrator,microsoft.powerApps/allEntities/allTasks
Global Administrator,microsoft.powerApps.powerBI/allEntities/allTasks
Global Administrator,microsoft.teams/allEntities/allProperties/allTasks
Global Administrator,microsoft.virtualVisits/allEntities/allProperties/allTasks
Global Administrator,microsoft.windows.defenderAdvancedThreatProtection/allEntities/allTasks
Global Administrator,microsoft.windows.updatesDeployments/allEntities/allProperties/allTasks
Guest User,microsoft.directory/applications/standard/limitedRead
Guest User,microsoft.directory/applications/owners/limitedRead
Guest User,microsoft.directory/applications/policies/limitedRead
Guest User,microsoft.directory/domains/standard/read
Guest User,microsoft.directory/groups/standard/limitedRead
Guest User,microsoft.directory/groups/appRoleAssignments/limitedRead
Guest User,microsoft.directory/groups/memberOf/limitedRead
Guest User,microsoft.directory/groups/members/limitedRead
Guest User,microsoft.directory/groups/owners/limitedRead
Guest User,microsoft.directory/groups/settings/limitedRead
Guest User,microsoft.directory/organization/basicProfile/read
Guest User,microsoft.directory/servicePrincipals/appRoleAssignedTo/limitedRead
Guest User,microsoft.directory/servicePrincipals/appRoleAssignments/limitedRead
Guest User,microsoft.directory/servicePrincipals/standard/limitedRead
Guest User,microsoft.directory/servicePrincipals/memberOf/limitedRead
Guest User,microsoft.directory/servicePrincipals/oAuth2PermissionGrants/limitedRead
Guest User,microsoft.directory/servicePrincipals/owners/limitedRead
Guest User,microsoft.directory/servicePrincipals/ownedObjects/limitedRead
Guest User,microsoft.directory/servicePrincipals/policies/limitedRead
Guest User,microsoft.directory/users/inviteGuest
Guest User,microsoft.directory/users/guestBasicProfile/limitedRead
Guest User,microsoft.directory/users/standard/read
Guest User,microsoft.directory/users/appRoleAssignments/read
Guest User,microsoft.directory/users/deviceForResourceAccount/read
Guest User,microsoft.directory/users/directReports/read
Guest User,microsoft.directory/users/eligibleMemberOf/read
Guest User,microsoft.directory/users/licenseDetails/read
Guest User,microsoft.directory/users/manager/read
Guest User,microsoft.directory/users/memberOf/read
Guest User,microsoft.directory/users/oAuth2PermissionGrants/read
Guest User,microsoft.directory/users/ownedDevices/read
Guest User,microsoft.directory/users/ownedObjects/read
Guest User,microsoft.directory/users/pendingMemberOf/read
Guest User,microsoft.directory/users/photo/read
Guest User,microsoft.directory/users/registeredDevices/read
Guest User,microsoft.directory/users/scopedRoleMemberOf/read
Guest User,microsoft.directory/users/password/update
Restricted Guest User,microsoft.directory/applications/standard/limitedRead
Restricted Guest User,microsoft.directory/applications/owners/limitedRead
Restricted Guest User,microsoft.directory/applications/policies/limitedRead
Restricted Guest User,microsoft.directory/domains/standard/read
Restricted Guest User,microsoft.directory/organization/basicProfile/read
Restricted Guest User,microsoft.directory/servicePrincipals/appRoleAssignedTo/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/appRoleAssignments/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/standard/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/memberOf/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/oAuth2PermissionGrants/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/owners/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/ownedObjects/limitedRead
Restricted Guest User,microsoft.directory/servicePrincipals/policies/limitedRead
Restricted Guest User,microsoft.directory/users/standard/read
Restricted Guest User,microsoft.directory/users/appRoleAssignments/read
Restricted Guest User,microsoft.directory/users/deviceForResourceAccount/read
Restricted Guest User,microsoft.directory/users/directReports/read
Restricted Guest User,microsoft.directory/users/eligibleMemberOf/read
Restricted Guest User,microsoft.directory/users/licenseDetails/read
Restricted Guest User,microsoft.directory/users/manager/read
Restricted Guest User,microsoft.directory/users/memberOf/read
Restricted Guest User,microsoft.directory/users/oAuth2PermissionGrants/read
Restricted Guest User,microsoft.directory/users/ownedDevices/read
Restricted Guest User,microsoft.directory/users/ownedObjects/read
Restricted Guest User,microsoft.directory/users/pendingMemberOf/read
Restricted Guest User,microsoft.directory/users/photo/read
Restricted Guest User,microsoft.directory/users/registeredDevices/read
Restricted Guest User,microsoft.directory/users/scopedRoleMemberOf/read
Restricted Guest User,microsoft.directory/users/password/update
Guest Inviter,microsoft.directory/users/inviteGuest
Guest Inviter,microsoft.directory/users/standard/read
Guest Inviter,microsoft.directory/users/appRoleAssignments/read
Guest Inviter,microsoft.directory/users/deviceForResourceAccount/read
Guest Inviter,microsoft.directory/users/directReports/read
Guest Inviter,microsoft.directory/users/licenseDetails/read
Guest Inviter,microsoft.directory/users/manager/read
Guest Inviter,microsoft.directory/users/memberOf/read
Guest Inviter,microsoft.directory/users/oAuth2PermissionGrants/read
Guest Inviter,microsoft.directory/users/ownedDevices/read
Guest Inviter,microsoft.directory/users/ownedObjects/read
Guest Inviter,microsoft.directory/users/photo/read
Guest Inviter,microsoft.directory/users/registeredDevices/read
Guest Inviter,microsoft.directory/users/scopedRoleMemberOf/read
User Administrator,microsoft.directory/accessReviews/definitions.applications/allProperties/allTasks
User Administrator,microsoft.directory/accessReviews/definitions.directoryRoles/allProperties/read
User Administrator,microsoft.directory/accessReviews/definitions.entitlementManagement/allProperties/allTasks
User Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/update
User Administrator,microsoft.directory/accessReviews/definitions.groups/create
User Administrator,microsoft.directory/accessReviews/definitions.groups/delete
User Administrator,microsoft.directory/accessReviews/definitions.groups/allProperties/read
User Administrator,microsoft.directory/contacts/create
User Administrator,microsoft.directory/contacts/delete
User Administrator,microsoft.directory/contacts/basic/update
User Administrator,microsoft.directory/deletedItems.groups/restore
User Administrator,microsoft.directory/deletedItems.users/restore
User Administrator,microsoft.directory/entitlementManagement/allProperties/allTasks
User Administrator,microsoft.directory/groups/assignLicense
User Administrator,microsoft.directory/groups/create
User Administrator,microsoft.directory/groups/delete
User Administrator,microsoft.directory/groups/hiddenMembers/read
User Administrator,microsoft.directory/groups/reprocessLicenseAssignment
User Administrator,microsoft.directory/groups/restore
User Administrator,microsoft.directory/groups/basic/update
User Administrator,microsoft.directory/groups/classification/update
User Administrator,microsoft.directory/groups/dynamicMembershipRule/update
User Administrator,microsoft.directory/groups/groupType/update
User Administrator,microsoft.directory/groups/members/update
User Administrator,microsoft.directory/groups/onPremWriteBack/update
User Administrator,microsoft.directory/groups/owners/update
User Administrator,microsoft.directory/groups/settings/update
User Administrator,microsoft.directory/groups/visibility/update
User Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks
User Administrator,microsoft.directory/policies/standard/read
User Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update
User Administrator,microsoft.directory/users/assignLicense
User Administrator,microsoft.directory/users/create
User Administrator,microsoft.directory/users/delete
User Administrator,microsoft.directory/users/disable
User Administrator,microsoft.directory/users/enable
User Administrator,microsoft.directory/users/inviteGuest
User Administrator,microsoft.directory/users/invalidateAllRefreshTokens
User Administrator,microsoft.directory/users/reprocessLicenseAssignment
User Administrator,microsoft.directory/users/restore
User Administrator,microsoft.directory/users/basic/update
User Administrator,microsoft.directory/users/manager/update
User Administrator,microsoft.directory/users/password/update
User Administrator,microsoft.directory/users/photo/update
User Administrator,microsoft.directory/users/userPrincipalName/update
User Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
User Administrator,microsoft.azure.supportTickets/allEntities/allTasks
User Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
User Administrator,microsoft.office365.supportTickets/allEntities/allTasks
User Administrator,microsoft.office365.webPortal/allEntities/standard/read
Helpdesk Administrator,microsoft.directory/bitlockerKeys/key/read
Helpdesk Administrator,microsoft.directory/users/invalidateAllRefreshTokens
Helpdesk Administrator,microsoft.directory/users/password/update
Helpdesk Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Helpdesk Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Helpdesk Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Helpdesk Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Helpdesk Administrator,microsoft.office365.webPortal/allEntities/standard/read
Service Support Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Service Support Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Service Support Administrator,microsoft.office365.network/performance/allProperties/read
Service Support Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Service Support Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Service Support Administrator,microsoft.office365.webPortal/allEntities/standard/read
Billing Administrator,microsoft.directory/organization/basic/update
Billing Administrator,microsoft.azure.serviceHealth/allEntities/allTasks
Billing Administrator,microsoft.azure.supportTickets/allEntities/allTasks
Billing Administrator,microsoft.commerce.billing/allEntities/allProperties/allTasks
Billing Administrator,microsoft.office365.serviceHealth/allEntities/allTasks
Billing Administrator,microsoft.office365.supportTickets/allEntities/allTasks
Billing Administrator,microsoft.office365.webPortal/allEntities/standard/read
User,microsoft.directory/administrativeUnits/standard/read
User,microsoft.directory/administrativeUnits/members/read
User,microsoft.directory/applications/standard/read
User,microsoft.directory/applications/owners/read
User,microsoft.directory/applications/policies/read
User,microsoft.directory/applications/createAsOwner
User,microsoft.directory/authorizationPolicy/standard/read
User,microsoft.directory/contacts/standard/read
User,microsoft.directory/contacts/memberOf/read
User,microsoft.directory/contracts/standard/read
User,microsoft.directory/devices/standard/read
User,microsoft.directory/devices/memberOf/read
User,microsoft.directory/devices/registeredOwners/read
User,microsoft.directory/devices/registeredUsers/read
User,microsoft.directory/directoryRoles/standard/read
User,microsoft.directory/directoryRoles/eligibleMembers/read
User,microsoft.directory/directoryRoles/members/read
User,microsoft.directory/domains/standard/read
User,microsoft.directory/groups/createAsOwner
User,microsoft.directory/groups/standard/read
User,microsoft.directory/groups/appRoleAssignments/read
User,microsoft.directory/groups/memberOf/read
User,microsoft.directory/groups/members/read
User,microsoft.directory/groups/owners/read
User,microsoft.directory/oAuth2PermissionGrants/standard/read
User,microsoft.directory/organization/standard/read
User,microsoft.directory/policies/standard/read
User,microsoft.directory/policies/owners/read
User,microsoft.directory/policies/policyAppliedTo/read
User,microsoft.directory/applicationPolicies/createAsOwner
User,microsoft.directory/applicationPolicies/standard/read
User,microsoft.directory/roleAssignments/standard/read
User,microsoft.directory/roleDefinitions/standard/read
User,microsoft.directory/servicePrincipals/createAsOwner
User,microsoft.directory/servicePrincipals/authentication/read
User,microsoft.directory/servicePrincipals/appRoleAssignedTo/read
User,microsoft.directory/servicePrincipals/appRoleAssignments/read
User,microsoft.directory/servicePrincipals/standard/read
User,microsoft.directory/servicePrincipals/memberOf/read
User,microsoft.directory/servicePrincipals/oAuth2PermissionGrants/read
User,microsoft.directory/servicePrincipals/owners/read
User,microsoft.directory/servicePrincipals/ownedObjects/read
User,microsoft.directory/servicePrincipals/policies/read
User,microsoft.directory/subscribedSkus/standard/read
User,microsoft.directory/tenantManagement/tenants/create
User,microsoft.directory/users/activateServicePlan
User,microsoft.directory/users/inviteGuest
User,microsoft.directory/users/standard/read
User,microsoft.directory/users/appRoleAssignments/read
User,microsoft.directory/users/deviceForResourceAccount/read
User,microsoft.directory/users/directReports/read
User,microsoft.directory/users/licenseDetails/read
User,microsoft.directory/users/manager/read
User,microsoft.directory/users/memberOf/read
User,microsoft.directory/users/oAuth2PermissionGrants/read
User,microsoft.directory/users/ownedDevices/read
User,microsoft.directory/users/ownedObjects/read
User,microsoft.directory/users/photo/read
User,microsoft.directory/users/registeredDevices/read
User,microsoft.directory/users/scopedRoleMemberOf/read
User,microsoft.directory/applications/delete
User,microsoft.directory/applications/appRoles/update
User,microsoft.directory/applications/audience/update
User,microsoft.directory/applications/authentication/update
User,microsoft.directory/applications/basic/update
User,microsoft.directory/applications/credentials/update
User,microsoft.directory/applications/extensionProperties/update
User,microsoft.directory/applications/notes/update
User,microsoft.directory/applications/owners/update
User,microsoft.directory/applications/permissions/update
User,microsoft.directory/applications/policies/update
User,microsoft.directory/applications/tag/update
User,microsoft.directory/applications/verification/update
User,microsoft.directory/auditLogs/allProperties/read
User,microsoft.directory/deletedItems.applications/delete
User,microsoft.directory/deletedItems.applications/restore
User,microsoft.directory/deletedItems.groups/restore
User,microsoft.directory/devices/disable
User,microsoft.directory/groups/delete
User,microsoft.directory/groups/restore
User,microsoft.directory/groups/basic/update
User,microsoft.directory/groups/classification/update
User,microsoft.directory/groups/groupType/update
User,microsoft.directory/groups/members/update
User,microsoft.directory/groups/owners/update
User,microsoft.directory/groups/settings/update
User,microsoft.directory/groups/visibility/update
User,microsoft.directory/groupsAssignableToRoles/delete
User,microsoft.directory/groupsAssignableToRoles/restore
User,microsoft.directory/groupsAssignableToRoles/allProperties/update
User,microsoft.directory/policies/delete
User,microsoft.directory/policies/basic/update
User,microsoft.directory/policies/owners/update
User,microsoft.directory/provisioningLogs/allProperties/read
User,microsoft.directory/servicePrincipals/delete
User,microsoft.directory/servicePrincipals/disable
User,microsoft.directory/servicePrincipals/enable
User,microsoft.directory/servicePrincipals/getPasswordSingleSignOnCredentials
User,microsoft.directory/servicePrincipals/managePasswordSingleSignOnCredentials
User,microsoft.directory/servicePrincipals/appRoleAssignedTo/update
User,microsoft.directory/servicePrincipals/audience/update
User,microsoft.directory/servicePrincipals/authentication/update
User,microsoft.directory/servicePrincipals/basic/update
User,microsoft.directory/servicePrincipals/credentials/update
User,microsoft.directory/servicePrincipals/notes/update
User,microsoft.directory/servicePrincipals/owners/update
User,microsoft.directory/servicePrincipals/permissions/update
User,microsoft.directory/servicePrincipals/policies/update
User,microsoft.directory/servicePrincipals/tag/update
User,microsoft.directory/signInReports/allProperties/read
User,microsoft.directory/users/changePassword
User,microsoft.directory/users/invalidateAllRefreshTokens
User,microsoft.directory/users/basicProfile/update
User,microsoft.directory/users/identities/update
User,microsoft.directory/users/mobile/update
User,microsoft.directory/users/searchableDeviceKey/update
User,microsoft.directory/userInfos/address/read
User,microsoft.directory/userInfos/email/read
User,microsoft.directory/userInfos/openId/read
User,microsoft.directory/userInfos/phone/read
User,microsoft.directory/userInfos/profile/read
Partner Tier1 Support,microsoft.directory/applications/appRoles/update
Partner Tier1 Support,microsoft.directory/applications/audience/update
Partner Tier1 Support,microsoft.directory/applications/authentication/update
Partner Tier1 Support,microsoft.directory/applications/basic/update
Partner Tier1 Support,microsoft.directory/applications/credentials/update
Partner Tier1 Support,microsoft.directory/applications/notes/update
Partner Tier1 Support,microsoft.directory/applications/owners/update
Partner Tier1 Support,microsoft.directory/applications/permissions/update
Partner Tier1 Support,microsoft.directory/applications/policies/update
Partner Tier1 Support,microsoft.directory/applications/tag/update
Partner Tier1 Support,microsoft.directory/contacts/create
Partner Tier1 Support,microsoft.directory/contacts/delete
Partner Tier1 Support,microsoft.directory/contacts/basic/update
Partner Tier1 Support,microsoft.directory/deletedItems.groups/restore
Partner Tier1 Support,microsoft.directory/deletedItems.users/restore
Partner Tier1 Support,microsoft.directory/groups/create
Partner Tier1 Support,microsoft.directory/groups/delete
Partner Tier1 Support,microsoft.directory/groups/restore
Partner Tier1 Support,microsoft.directory/groups/members/update
Partner Tier1 Support,microsoft.directory/groups/owners/update
Partner Tier1 Support,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks
Partner Tier1 Support,microsoft.directory/servicePrincipals/appRoleAssignedTo/update
Partner Tier1 Support,microsoft.directory/users/assignLicense
Partner Tier1 Support,microsoft.directory/users/create
Partner Tier1 Support,microsoft.directory/users/delete
Partner Tier1 Support,microsoft.directory/users/disable
Partner Tier1 Support,microsoft.directory/users/enable
Partner Tier1 Support,microsoft.directory/users/invalidateAllRefreshTokens
Partner Tier1 Support,microsoft.directory/users/restore
Partner Tier1 Support,microsoft.directory/users/basic/update
Partner Tier1 Support,microsoft.directory/users/manager/update
Partner Tier1 Support,microsoft.directory/users/password/update
Partner Tier1 Support,microsoft.directory/users/photo/update
Partner Tier1 Support,microsoft.directory/users/userPrincipalName/update
Partner Tier1 Support,microsoft.azure.serviceHealth/allEntities/allTasks
Partner Tier1 Support,microsoft.azure.supportTickets/allEntities/allTasks
Partner Tier1 Support,microsoft.office365.serviceHealth/allEntities/allTasks
Partner Tier1 Support,microsoft.office365.supportTickets/allEntities/allTasks
Partner Tier1 Support,microsoft.office365.webPortal/allEntities/standard/read
Partner Tier2 Support,microsoft.directory/applications/appRoles/update
Partner Tier2 Support,microsoft.directory/applications/audience/update
Partner Tier2 Support,microsoft.directory/applications/authentication/update
Partner Tier2 Support,microsoft.directory/applications/basic/update
Partner Tier2 Support,microsoft.directory/applications/credentials/update
Partner Tier2 Support,microsoft.directory/applications/notes/update
Partner Tier2 Support,microsoft.directory/applications/owners/update
Partner Tier2 Support,microsoft.directory/applications/permissions/update
Partner Tier2 Support,microsoft.directory/applications/policies/update
Partner Tier2 Support,microsoft.directory/applications/tag/update
Partner Tier2 Support,microsoft.directory/contacts/create
Partner Tier2 Support,microsoft.directory/contacts/delete
Partner Tier2 Support,microsoft.directory/contacts/basic/update
Partner Tier2 Support,microsoft.directory/deletedItems.groups/restore
Partner Tier2 Support,microsoft.directory/deletedItems.users/restore
Partner Tier2 Support,microsoft.directory/domains/allProperties/allTasks
Partner Tier2 Support,microsoft.directory/groups/create
Partner Tier2 Support,microsoft.directory/groups/delete
Partner Tier2 Support,microsoft.directory/groups/restore
Partner Tier2 Support,microsoft.directory/groups/members/update
Partner Tier2 Support,microsoft.directory/groups/owners/update
Partner Tier2 Support,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks
Partner Tier2 Support,microsoft.directory/organization/basic/update
Partner Tier2 Support,microsoft.directory/roleAssignments/allProperties/allTasks
Partner Tier2 Support,microsoft.directory/roleDefinitions/allProperties/allTasks
Partner Tier2 Support,microsoft.directory/scopedRoleMemberships/allProperties/allTasks
Partner Tier2 Support,microsoft.directory/servicePrincipals/appRoleAssignedTo/update
Partner Tier2 Support,microsoft.directory/subscribedSkus/standard/read
Partner Tier2 Support,microsoft.directory/users/assignLicense
Partner Tier2 Support,microsoft.directory/users/create
Partner Tier2 Support,microsoft.directory/users/delete
Partner Tier2 Support,microsoft.directory/users/disable
Partner Tier2 Support,microsoft.directory/users/enable
Partner Tier2 Support,microsoft.directory/users/invalidateAllRefreshTokens
Partner Tier2 Support,microsoft.directory/users/restore
